"personal_id","Disease_1","Disease_2","Disease_3","Disease_4","Disease_5","Disease_6","Disease_7","Disease_8","Disease_9","Disease_10","Status"
"920624-2447527",1,0,0,0,1,1,0,0,0,1,"equal"
"971018-2067548",0,1,0,0,0,1,1,1,1,0,"equal"
"960706-4863155",1,0,0,1,1,1,0,0,0,0,"equal"
"671119-2904658",1,0,0,0,0,1,0,0,0,1,"equal"
"880513-1816585",0,1,1,0,1,1,1,1,0,0,"equal"
"580415-4035238",1,0,0,1,1,0,0,0,0,0,"equal"
"700123-4815672",1,1,0,1,0,0,0,0,0,1,"equal"
"740105-1990285",1,1,1,1,1,0,0,1,1,0,"equal"
"520808-3374073",1,0,0,1,0,1,0,0,0,1,"equal"
"561006-2666385",0,1,1,0,0,1,0,1,1,0,"equal"
"761104-3807226",0,0,0,1,0,0,0,0,1,0,"equal"
"761119-2786181",1,0,0,1,1,0,0,0,0,1,"equal"
"921126-1741860",0,0,1,1,1,1,0,1,0,1,"equal"
"850821-3270020",0,1,1,0,1,0,1,0,1,1,"equal"
"560522-1173941",0,1,0,0,1,1,0,1,0,1,"equal"
"660613-4889741",1,1,1,0,1,1,1,1,0,0,"equal"
"610506-4953554",1,1,0,1,0,0,0,0,0,1,"equal"
"931128-1014603",0,1,1,1,0,0,1,1,0,0,"equal"
"970713-3159492",0,0,1,0,1,1,1,1,0,0,"equal"
"651218-3708880",1,1,1,1,0,1,0,1,0,1,"equal"
"841205-3496715",1,0,1,0,1,1,1,0,0,1,"equal"
"550911-3238661",1,0,0,0,1,1,1,0,1,1,"equal"
"720807-1405747",0,1,1,0,0,0,0,0,1,1,"equal"
"680809-2767587",0,1,1,1,1,0,0,0,0,1,"equal"
"640901-3760971",0,0,0,1,1,1,1,0,0,0,"equal"
"900520-3677161",1,1,1,0,0,0,1,1,0,1,"equal"
"941214-1944719",0,1,0,0,0,0,1,0,0,0,"equal"
"840226-1088659",1,1,0,1,0,1,0,1,1,0,"equal"
"980823-3606892",1,1,0,0,0,0,0,1,0,1,"equal"
"561215-2544835",0,0,1,1,0,1,1,0,0,0,"equal"
"670917-4197222",0,1,1,0,1,0,0,0,0,0,"equal"
"991203-2658909",0,1,0,1,1,1,0,0,0,1,"equal"
"640721-4480831",0,1,0,0,1,1,0,1,0,0,"equal"
"850220-2149188",0,0,0,0,1,1,0,0,0,1,"equal"
"910326-1436132",1,0,1,0,1,0,0,1,0,1,"equal"
"801115-4463347",0,0,1,1,0,0,0,1,0,1,"equal"
"720919-1247953",0,0,1,0,1,0,1,1,1,1,"equal"
"880613-1066522",0,0,0,0,0,0,0,0,0,1,"equal"
"970222-2893033",0,0,0,1,1,1,1,0,0,0,"equal"
"910220-1596536",1,1,1,0,0,1,0,0,0,0,"equal"
"951026-2730101",0,0,1,1,1,0,1,1,0,1,"equal"
"990608-2644192",1,0,0,1,1,1,0,0,1,1,"equal"
"981013-3870504",0,0,1,1,1,0,1,0,0,1,"equal"
"960503-2911903",1,0,0,0,0,1,0,0,0,1,"equal"
"911015-4178144",0,1,1,1,1,1,1,1,1,1,"equal"
"590610-3125523",1,1,1,0,1,0,1,0,0,1,"equal"
"730717-2321870",1,0,0,0,1,1,0,0,1,1,"equal"
"860318-3474321",1,0,1,0,1,0,0,1,0,1,"equal"
"890121-4379123",0,0,1,0,0,0,1,1,1,0,"equal"
"640619-1653806",1,1,0,1,0,1,1,0,1,1,"equal"
"611107-3220881",0,0,1,1,0,0,0,1,1,1,"equal"
"850810-2445819",1,1,0,0,1,0,0,0,1,1,"equal"
"920509-1850101",1,0,0,1,0,0,0,1,0,0,"equal"
"900625-2388113",1,1,0,0,1,1,0,0,0,1,"equal"
"980926-4111340",0,1,0,1,1,1,0,0,0,0,"equal"
"570914-1491637",1,0,1,0,0,1,0,0,0,1,"equal"
"610421-1043475",1,0,0,1,1,0,0,1,1,1,"equal"
"860222-2369960",0,0,1,1,1,0,0,0,1,1,"equal"
"951102-2846746",0,1,1,1,0,0,1,0,0,1,"equal"
"830803-1443664",1,1,0,1,0,1,1,1,1,0,"equal"
"560604-2740752",0,0,1,0,0,1,1,1,1,0,"equal"
"530905-2077666",0,1,1,1,1,0,0,1,1,0,"equal"
"721025-2167141",0,0,1,0,0,1,0,1,1,0,"equal"
"820117-2868498",1,0,1,0,0,1,0,1,1,0,"equal"
"910712-1017552",0,0,1,1,1,1,0,1,1,1,"equal"
"800425-2707375",0,0,0,1,1,1,1,1,0,1,"equal"
"600128-1133490",1,0,1,0,1,0,0,1,1,0,"equal"
"930508-4854939",1,0,0,1,1,0,1,0,1,1,"equal"
"941012-1071761",1,0,0,0,1,1,0,0,1,1,"equal"
"801101-4892811",0,0,1,0,0,1,1,0,1,0,"equal"
"780815-1540785",1,1,1,1,0,1,0,1,1,0,"equal"
"511104-2206584",0,0,0,0,0,1,0,0,1,1,"equal"
"820805-3801723",0,1,1,0,1,0,0,1,1,1,"equal"
"560310-4665249",1,1,1,1,0,0,1,1,0,1,"equal"
"590114-4322201",0,0,0,1,0,1,0,1,0,1,"equal"
"831221-4416856",0,1,0,0,0,0,0,0,0,0,"equal"
"660626-1008871",0,1,0,1,0,0,1,0,1,0,"equal"
"800701-3124919",1,0,1,1,1,0,1,1,0,1,"equal"
"521115-1918962",1,1,1,0,1,0,1,1,1,1,"equal"
"541022-1498204",0,0,1,0,1,1,0,1,0,0,"equal"
"550621-4960659",0,1,1,1,0,0,0,0,1,1,"equal"
"840514-3728994",0,0,1,1,0,0,0,1,1,0,"equal"
"860628-2376179",0,1,1,1,0,1,1,0,0,1,"equal"
"540623-2181008",0,0,1,1,0,0,0,0,0,1,"equal"
"990302-4375020",0,0,1,0,1,1,1,1,0,0,"equal"
"690927-2639994",1,0,0,0,1,1,0,1,0,1,"equal"
"960717-3265189",1,1,1,1,0,1,0,1,1,1,"equal"
"810828-2916497",1,0,0,1,1,1,1,1,1,0,"equal"
"720509-3064471",1,1,0,1,1,1,1,0,0,0,"equal"
"670823-1504071",1,0,1,0,0,1,0,1,1,1,"equal"
"911019-2182233",1,1,0,0,0,0,1,1,0,1,"equal"
"850408-1250107",1,0,1,1,0,1,1,0,1,1,"equal"
"870509-1365190",0,1,0,1,1,0,0,0,1,1,"equal"
"641027-3275050",0,1,1,0,1,0,0,0,1,1,"equal"
"880306-1887612",0,0,1,1,1,0,1,1,1,1,"equal"
"890310-4499784",0,1,1,1,0,1,1,0,0,1,"equal"
"501110-1856771",1,0,1,1,1,0,1,0,0,1,"equal"
"901126-1758180",1,1,1,1,0,0,0,1,1,0,"equal"
"610815-1295240",1,1,1,0,0,1,1,0,0,1,"equal"
"840712-2799266",0,0,0,0,0,0,1,0,0,0,"equal"
"741005-3672828",0,1,1,0,1,1,1,1,1,1,"equal"
"510508-2015652",1,1,1,1,0,0,0,1,0,0,"equal"
"900703-1561132",0,1,0,0,1,1,0,1,1,1,"equal"
"910705-4292181",0,1,1,1,0,0,1,0,0,1,"equal"
"660409-3106798",1,0,1,0,0,0,1,1,1,1,"equal"
"550408-2122932",1,0,1,1,1,1,1,0,0,0,"equal"
"700927-4245403",0,1,1,1,0,1,1,1,0,0,"equal"
"520518-3780325",0,1,1,0,0,1,0,1,1,1,"equal"
"570202-2350563",0,0,1,1,1,1,1,0,0,1,"equal"
"751023-2588295",1,0,0,1,0,1,0,1,1,1,"equal"
"790510-3169041",1,0,1,0,0,0,1,0,1,0,"equal"
"820720-4996648",0,1,0,0,0,1,0,0,0,1,"equal"
"891112-2052472",0,0,0,1,0,0,1,0,1,0,"equal"
"600716-2364268",0,0,1,1,1,0,1,0,0,0,"equal"
"800115-4427562",1,0,0,1,1,1,1,0,0,1,"equal"
"791224-1853397",1,0,0,0,0,0,0,1,1,0,"equal"
"930303-3182344",0,1,0,0,0,1,1,0,0,0,"equal"
"660506-4716248",1,1,0,0,1,0,1,1,1,1,"equal"
"560701-2158322",0,0,1,0,0,0,1,1,0,0,"equal"
"611213-4419395",1,0,0,1,0,1,0,0,1,1,"equal"
"621213-3789051",0,1,1,1,1,0,1,0,1,1,"equal"
"531221-2400612",1,0,1,1,1,0,0,1,1,0,"equal"
"590311-4781143",1,0,0,1,1,1,0,1,0,0,"equal"
"671019-4427627",1,1,0,1,0,1,1,1,1,1,"equal"
"601219-2444747",0,1,1,0,1,0,1,1,1,0,"equal"
"720725-1776525",1,0,0,1,0,0,0,0,0,1,"equal"
"770806-4169902",0,1,1,0,1,0,1,0,0,0,"equal"
"970522-3332706",1,1,1,1,0,0,0,1,0,1,"equal"
"540225-3067523",0,1,0,1,0,0,1,1,0,0,"equal"
"690128-2698571",1,0,0,0,0,1,0,0,0,0,"equal"
"960514-2817197",0,1,1,0,1,1,0,0,1,1,"equal"
"981204-1182167",0,0,1,0,0,1,0,1,1,1,"equal"
"550224-4083606",0,0,1,1,1,0,1,1,1,1,"equal"
"950404-3993279",1,1,1,1,0,1,1,0,0,1,"equal"
"761018-2529210",1,1,0,0,1,0,1,0,1,0,"equal"
"660322-4279182",1,1,0,0,1,0,1,0,1,1,"equal"
"521006-4626642",0,0,1,1,1,0,0,0,1,0,"equal"
"840524-2091855",1,1,1,0,1,0,0,0,0,1,"equal"
"920619-1995903",1,0,0,0,1,0,1,0,0,0,"equal"
"680717-1274870",0,1,0,0,1,0,1,1,1,1,"equal"
"531105-1947205",0,1,0,1,0,1,1,1,0,1,"equal"
"750824-1599572",0,1,0,0,0,0,1,0,0,1,"equal"
"600709-3674872",1,1,0,1,1,0,0,1,0,1,"equal"
"530116-4403522",0,1,1,0,1,0,0,1,0,1,"equal"
"930101-4628970",1,1,1,1,0,1,1,0,0,1,"equal"
"720504-4205239",0,0,0,0,1,1,0,1,1,0,"equal"
"720527-4927227",1,1,1,1,1,0,1,0,0,0,"equal"
"510428-4010038",0,0,1,1,0,0,0,1,0,0,"equal"
"720801-3914543",0,1,1,0,1,0,1,1,1,0,"equal"
