"personal_id","Disease_1","Disease_2","Disease_3","Disease_4","Disease_5","Disease_6","Disease_7","Disease_8","Disease_9","Disease_10"
"800314-3915435",0,0,0,0,1,1,0,0,1,0
"741027-4428882",0,1,1,0,0,1,1,1,0,1
"571007-2823064",0,0,0,0,1,0,0,1,1,1
"611013-3889646",0,0,1,0,0,1,1,0,0,1
"760625-2471088",0,0,1,0,1,1,1,0,1,0
"870515-1935755",1,0,1,0,1,0,0,0,0,0
"880122-2013452",1,1,1,1,0,0,1,1,0,1
"740422-1862782",0,0,1,1,0,0,1,0,1,0
"630703-3594472",0,0,0,0,0,0,1,1,1,0
"590210-4195305",1,0,0,0,1,0,0,1,0,1
"840814-3706669",1,0,1,1,1,0,1,1,1,0
"870727-2457463",1,0,1,1,0,1,0,1,0,0
"931219-1659861",1,0,1,1,1,0,1,1,1,0
"970324-4630738",0,1,0,0,0,0,1,1,1,1
"650822-3372335",0,1,1,0,1,1,1,1,0,1
"981027-4867415",1,1,1,0,1,0,0,0,1,1
"571226-4460779",1,1,0,1,1,1,0,0,0,1
"740818-1486699",0,1,1,1,1,0,0,0,0,1
"730623-2082945",0,1,0,0,1,0,0,0,1,0
"621111-1396869",1,0,0,0,1,1,1,0,0,0
"810424-1884650",1,0,1,0,0,1,0,0,1,0
"751017-2094649",1,1,1,0,1,1,0,0,0,1
"900406-2048328",0,1,1,0,0,1,1,0,1,1
"950102-4904487",0,1,1,1,0,1,1,1,1,1
"740513-2956804",1,0,0,1,1,0,0,1,0,0
"941221-4463100",1,0,1,1,0,1,1,1,0,0
"510102-1702114",0,0,0,1,0,0,1,0,1,0
"610913-2599523",0,1,0,1,1,0,0,0,1,1
"761103-1621628",1,1,1,0,1,0,1,1,0,1
"880904-2598640",0,1,0,1,1,1,0,0,0,1
"681202-1028152",1,0,1,0,1,1,0,0,1,1
"670106-2799353",1,0,0,0,0,0,0,1,1,0
"780409-4769017",0,1,1,1,1,1,1,1,1,1
"910711-1122594",1,0,1,1,0,1,1,1,1,1
"850201-4041124",1,0,1,0,0,0,0,1,0,1
"551015-3207037",1,0,1,0,1,0,1,0,1,1
"931010-4610384",1,1,1,1,0,0,1,1,1,1
"601208-2415998",0,1,1,1,1,1,1,1,0,1
