"personal_id","Disease_1","Disease_2","Disease_3","Disease_4","Disease_5","Disease_6","Disease_7","Disease_8","Disease_9","Disease_10","Status"
"850316-4475714",0,0,1,1,0,1,1,1,1,1,"equal"
"730816-4099532",1,0,1,1,1,1,1,1,0,0,"equal"
"860819-1734249",1,1,1,0,1,1,1,1,0,1,"equal"
"510927-1729176",1,0,1,1,0,0,0,0,0,0,"equal"
"830128-2159349",1,1,1,1,0,1,1,1,0,1,"equal"
"831217-3786146",1,1,0,0,1,0,0,1,0,0,"equal"
"640723-1513838",0,1,1,0,0,0,1,0,0,0,"equal"
"521019-2721628",0,1,1,1,0,1,0,1,1,1,"equal"
"731220-1419259",1,0,0,1,1,1,0,0,1,0,"equal"
"850826-2225990",0,1,0,1,0,0,0,0,1,0,"equal"
"570525-3373968",1,0,1,1,0,1,1,0,0,1,"equal"
"710923-4307365",1,1,1,1,0,1,1,0,1,0,"equal"
"590919-4006504",1,1,1,0,0,1,1,1,0,1,"equal"
"860320-2057559",0,0,0,1,1,0,1,1,0,0,"equal"
"690422-2248070",0,1,1,1,0,1,0,1,0,1,"equal"
"680820-4334950",0,0,0,1,0,1,0,1,1,0,"equal"
"871120-3896707",0,0,1,1,1,1,0,1,0,1,"equal"
"740802-4224735",0,0,0,0,1,0,1,0,1,1,"equal"
"730208-3564228",1,1,1,1,0,0,0,1,0,1,"equal"
"781107-3773428",1,0,1,0,0,1,1,1,0,0,"equal"
"930215-3142595",1,0,1,1,1,1,0,1,0,1,"equal"
"860723-1240711",0,1,1,0,1,0,0,1,0,1,"equal"
"880927-2895267",1,0,1,1,1,1,0,0,1,0,"equal"
"550223-3602810",1,1,0,1,0,0,1,0,0,0,"equal"
"790305-2967470",1,1,0,0,0,1,0,0,1,1,"equal"
"810708-1748332",1,0,1,0,1,1,1,1,0,1,"equal"
"891112-1015002",1,1,1,0,0,0,0,0,1,1,"equal"
"690328-3271454",1,0,0,1,0,0,1,0,0,0,"equal"
"621003-3130735",0,0,1,1,0,0,0,0,0,0,"equal"
"561026-2098897",0,1,1,0,0,0,1,1,0,1,"equal"
"660714-4022259",1,0,1,1,0,1,1,1,1,1,"equal"
"590925-2485507",0,1,0,0,1,0,1,1,0,0,"equal"
"681102-2427590",1,0,1,0,1,0,1,0,0,1,"equal"
"910520-1305418",1,1,1,0,0,0,1,0,1,0,"equal"
"981013-1306911",1,1,1,0,0,0,0,1,1,1,"equal"
"580924-4756340",1,1,0,0,0,0,0,0,0,1,"equal"
"900516-4050064",1,1,0,1,0,1,1,0,1,0,"equal"
"980416-4513757",1,0,1,0,0,0,1,0,0,0,"equal"
"561021-2160746",1,0,0,1,0,0,1,1,1,1,"equal"
"660312-1137164",1,1,0,1,1,1,0,1,1,0,"equal"
"551113-1732097",0,1,0,1,1,0,0,0,1,0,"equal"
"721213-3222474",1,0,0,0,0,0,0,0,0,1,"equal"
"591013-3397616",0,1,1,1,0,0,1,1,1,1,"equal"
"941126-2925863",1,0,1,0,1,0,1,1,1,0,"equal"
"921224-2536416",1,1,0,0,0,1,1,1,0,0,"equal"
"530908-1023523",0,1,1,1,1,0,1,0,0,1,"equal"
"530521-2919004",0,1,1,0,1,1,1,0,0,1,"equal"
"620320-4547033",1,0,1,1,0,1,1,1,1,1,"equal"
"950111-1891233",1,1,1,1,0,1,0,0,1,1,"equal"
"830515-4510578",1,1,1,0,1,0,0,0,0,0,"equal"
"970504-2711137",1,0,1,0,1,0,0,0,1,1,"equal"
"871025-3065693",0,1,0,1,0,0,1,1,0,0,"equal"
"650325-1754977",0,1,1,0,1,0,1,1,0,1,"equal"
"830501-3566066",1,0,1,0,0,1,1,1,0,1,"equal"
"970707-2557905",0,0,0,1,1,0,1,1,0,0,"equal"
"930422-4163694",1,0,0,1,0,1,0,1,0,1,"equal"
"940516-1113013",1,0,0,0,1,0,0,0,1,1,"equal"
"580318-4977819",1,1,0,1,0,0,0,0,0,0,"equal"
"531123-2993010",1,1,1,0,1,1,0,0,1,1,"equal"
"840413-4265217",1,1,0,1,1,1,1,1,0,1,"equal"
"980323-2599934",0,1,1,0,0,1,0,0,1,0,"equal"
"631204-2211364",0,0,1,0,1,1,1,1,0,0,"equal"
"820205-2986313",1,0,1,0,1,1,1,1,1,1,"equal"
"690802-2670680",1,1,1,0,1,0,0,1,1,1,"equal"
"890622-3736175",0,0,0,0,0,0,1,0,0,0,"equal"
"540804-2228385",0,1,0,0,0,1,1,1,1,0,"equal"
"590217-2979532",0,1,1,1,0,1,1,1,0,1,"equal"
"680103-4520882",1,1,0,1,0,0,0,1,0,0,"equal"
"880127-1792054",1,0,0,0,1,1,1,0,1,1,"equal"
"730505-1913139",1,1,1,0,0,1,0,1,1,0,"equal"
"780226-4559658",1,1,1,1,1,0,1,1,1,1,"equal"
"870416-3699698",0,1,1,0,1,0,1,0,0,0,"equal"
"900524-3085692",1,1,0,0,1,0,0,1,0,1,"equal"
"531218-3599439",0,1,0,1,0,0,1,1,0,0,"equal"
"690819-2299343",0,1,1,0,1,1,1,1,1,1,"equal"
"710801-4424955",1,0,0,1,0,1,1,1,1,0,"equal"
"781012-2179246",1,1,0,1,1,1,1,1,1,1,"equal"
"940608-1407993",0,1,0,0,1,0,1,0,1,0,"equal"
"910419-4557963",1,1,0,1,1,1,1,0,0,0,"equal"
"750219-1846448",0,0,1,1,0,0,1,1,1,0,"equal"
"990520-2645935",1,1,0,0,1,1,1,0,1,0,"equal"
"990823-3488111",0,0,1,1,0,0,1,0,1,1,"equal"
"930623-3990111",1,1,0,0,1,1,0,0,0,0,"equal"
"721125-1148457",0,1,0,0,0,0,1,1,0,0,"equal"
"651120-3469391",1,0,0,0,0,0,1,1,1,0,"equal"
"840403-4911331",0,0,1,0,1,1,1,0,0,0,"equal"
"710513-4246373",0,0,0,0,0,1,0,0,1,1,"equal"
"700604-1847028",0,0,0,1,1,1,0,1,0,1,"equal"
"700315-2579713",1,1,1,1,0,1,0,1,1,1,"equal"
"680426-3805780",0,1,0,1,0,1,1,1,0,0,"equal"
"980326-2375557",0,0,1,1,1,0,1,1,0,0,"equal"
"990411-2981237",1,1,0,0,1,0,0,0,0,0,"equal"
"960518-2931962",1,1,1,0,1,0,1,0,1,1,"equal"
"891126-2901607",0,0,0,0,1,1,1,0,0,0,"equal"
"771009-2163811",1,0,0,1,1,0,1,1,0,1,"equal"
"660106-1357131",1,1,1,1,1,0,0,1,0,0,"equal"
"941127-3973716",0,0,0,1,1,1,1,0,0,1,"equal"
"531121-3734763",1,1,0,1,0,1,1,0,1,0,"equal"
"850510-3339869",1,1,0,1,1,0,1,0,1,1,"equal"
"770116-1369408",1,0,1,1,1,1,1,0,1,0,"equal"
"580415-2940582",1,1,1,0,1,0,0,1,1,1,"equal"
"571107-3678261",1,0,0,1,1,1,1,1,1,1,"equal"
"540720-1276632",0,1,1,0,0,1,0,0,0,1,"equal"
"560103-4635544",0,0,0,1,0,1,1,0,0,1,"equal"
"500401-4994858",1,0,0,0,1,0,1,0,0,1,"equal"
"710225-1583486",1,1,1,1,0,1,1,1,0,1,"equal"
"860614-3835022",0,1,0,0,0,0,0,1,1,0,"equal"
"720326-1570415",0,1,0,0,0,1,0,1,1,0,"equal"
"941020-4540330",0,0,0,1,1,0,0,1,0,0,"equal"
"980123-2999903",1,1,0,1,0,1,0,1,0,1,"equal"
"520304-1787688",0,1,0,1,0,0,1,0,0,1,"equal"
"650515-2609132",0,0,1,0,0,0,0,0,1,0,"equal"
"520109-2411990",0,0,1,0,1,0,0,1,0,1,"equal"
"650523-3255658",0,0,1,0,0,0,0,1,0,1,"equal"
"600201-1973738",0,0,0,1,0,0,0,1,0,1,"equal"
"860428-1239531",1,0,1,1,1,0,0,0,1,1,"equal"
"910525-3524838",0,1,0,1,0,1,0,0,0,1,"equal"
"661102-3539916",1,0,1,1,0,0,1,0,1,0,"equal"
"830105-3223224",1,0,1,1,0,0,1,1,1,1,"equal"
"620616-2083578",1,0,0,1,0,0,0,1,1,0,"equal"
"801115-4129930",0,1,0,1,1,1,0,1,1,1,"equal"
"681211-4521264",1,0,0,0,0,1,1,0,1,1,"equal"
"600202-4660715",1,1,1,0,0,1,0,1,1,0,"equal"
"630704-2371769",1,0,1,1,0,1,0,1,0,1,"equal"
"830308-2040597",0,1,0,0,0,1,0,0,0,0,"equal"
"971004-4893665",1,0,0,0,1,0,1,1,0,1,"equal"
"830522-3087616",0,0,0,0,0,1,0,0,0,1,"equal"
"750503-4561802",1,0,1,0,0,0,0,1,0,0,"equal"
"851219-2458948",0,1,0,1,1,0,0,1,0,1,"equal"
"900717-4122805",0,1,0,1,0,0,1,0,1,1,"equal"
"690314-3347157",0,1,1,1,0,0,1,1,0,0,"equal"
"620924-2273105",1,1,0,1,0,1,1,0,1,0,"equal"
"690522-3042455",0,1,1,1,0,0,0,1,0,1,"equal"
"720312-1835202",1,1,0,1,0,1,0,1,1,1,"equal"
"741005-1799245",0,1,0,1,0,1,0,1,1,0,"equal"
"820602-2032163",0,0,1,0,1,1,0,0,1,0,"equal"
"880902-3601190",1,1,1,0,1,1,1,1,0,0,"equal"
"610112-2818999",1,0,0,0,0,1,1,1,0,0,"equal"
"810625-4511950",0,0,1,0,1,1,1,1,1,0,"equal"
"770427-4450564",0,0,0,1,1,1,0,1,1,0,"equal"
"550411-2785922",1,0,0,1,0,0,1,1,1,0,"equal"
"980422-3827125",1,0,0,1,0,1,0,0,0,0,"equal"
"860708-4285798",1,1,0,1,1,0,0,1,1,1,"equal"
"530107-1574235",0,0,1,0,1,0,0,0,1,1,"equal"
"761209-4891167",1,0,0,1,0,0,0,1,1,1,"equal"
"851020-2839592",0,1,1,1,0,0,0,0,0,0,"equal"
"580608-3775477",0,0,1,1,1,0,1,0,1,0,"equal"
"620122-4611338",0,1,0,1,1,1,1,0,0,1,"equal"
"520806-2209799",1,0,1,1,0,1,1,0,0,0,"equal"
"570828-1628637",1,0,0,1,1,0,0,0,1,1,"equal"
"510713-4634032",1,0,1,0,0,1,0,1,1,0,"equal"
"590113-2146297",0,1,1,0,1,0,1,0,1,1,"equal"
"770207-4957163",1,1,0,1,0,0,1,1,0,1,"equal"
"510416-3478590",0,0,0,0,0,1,0,1,1,0,"equal"
"741120-3509050",0,1,0,0,1,1,0,1,0,0,"equal"
"640826-3101580",0,1,1,0,0,0,1,0,0,1,"equal"
"700120-2912276",0,0,1,0,0,0,1,0,0,1,"equal"
"940506-1148902",1,0,0,0,0,0,0,1,1,0,"equal"
"970919-1416283",0,0,1,1,1,1,1,0,1,0,"equal"
"740525-1214817",0,1,0,0,0,1,1,1,1,0,"equal"
"930828-3441145",1,1,1,0,1,1,0,0,0,1,"equal"
"540505-2726772",0,1,1,1,0,0,0,0,1,0,"equal"
"960207-1024498",1,0,0,1,0,0,0,0,0,0,"equal"
"811017-3144518",1,1,1,1,1,0,0,0,0,0,"equal"
"580718-2142917",0,0,1,0,0,0,0,1,1,1,"equal"
"741118-3128552",0,1,1,1,1,1,1,1,1,0,"equal"
"831213-1455093",0,1,1,0,1,0,1,0,1,1,"equal"
"831012-4312005",0,1,0,0,1,1,1,1,0,1,"equal"
"880315-2184403",0,0,1,1,1,0,0,1,0,0,"equal"
"930510-4291741",0,0,0,0,0,0,1,1,0,0,"equal"
"590203-2718166",0,0,0,0,0,0,1,0,0,1,"equal"
"540427-1479161",0,0,0,1,1,1,1,1,0,0,"equal"
"600317-2372124",0,0,1,1,0,0,1,0,0,1,"equal"
"700128-4788515",1,0,0,0,1,1,1,0,1,1,"equal"
"530420-2404743",0,0,1,1,0,0,0,1,0,0,"equal"
"950613-3167854",0,0,0,1,1,0,1,0,0,1,"equal"
"870813-4022966",0,1,1,1,0,1,0,1,0,0,"equal"
"590212-1381882",1,1,1,0,1,0,1,0,1,0,"equal"
"870603-3624740",0,1,1,0,1,1,0,1,0,1,"equal"
"720715-4360371",1,0,0,1,0,0,1,0,1,0,"equal"
"600204-4030461",1,1,1,0,1,0,0,1,1,1,"equal"
"590215-3363163",1,1,1,0,1,1,1,1,1,1,"equal"
"760905-2797616",0,0,1,0,0,0,1,0,1,1,"equal"
"760504-3973673",0,1,1,0,0,1,1,1,0,0,"equal"
"660209-4029971",0,1,1,1,0,0,0,1,1,0,"equal"
"900210-1025250",1,1,0,0,1,1,0,1,0,1,"equal"
"971218-3189137",1,0,0,0,0,1,1,0,0,0,"equal"
"971214-4040097",0,0,1,0,1,0,1,0,1,1,"equal"
"630327-1399129",0,1,1,1,0,1,0,0,0,1,"equal"
"760228-3001606",1,1,0,1,1,1,1,0,1,0,"equal"
"820201-2743550",0,1,0,1,0,1,0,1,0,1,"equal"
"920606-1139328",1,0,0,0,1,0,1,0,0,0,"equal"
"660908-3084445",1,0,1,0,0,0,0,1,1,0,"equal"
"520314-1314217",0,0,0,1,1,1,0,0,1,0,"equal"
"730101-1852469",0,1,1,1,0,1,1,1,1,0,"equal"
"770523-2850527",1,0,0,1,0,0,1,0,0,1,"equal"
"820618-2595889",0,0,0,0,1,0,1,1,0,0,"equal"
"781227-2682105",1,1,0,0,1,0,1,0,1,0,"equal"
"530801-1818805",1,1,0,0,1,0,1,0,1,1,"equal"
"890622-2438316",1,0,1,0,1,1,0,1,0,1,"equal"
"641101-1265346",0,0,0,1,1,1,0,1,0,0,"equal"
"680206-3593721",1,0,1,1,1,1,1,1,0,0,"equal"
"721110-1474928",0,1,0,0,0,0,0,0,0,0,"equal"
"720613-1486608",0,1,1,0,1,0,0,0,1,1,"equal"
"900217-3830009",1,1,1,1,1,0,1,0,0,1,"equal"
"681103-3138947",1,1,1,0,0,1,0,1,1,0,"equal"
"971202-2424632",1,1,1,1,0,0,0,1,0,0,"equal"
"610110-2070801",0,0,1,0,0,0,0,1,0,0,"equal"
"820414-1185777",0,1,1,1,0,1,0,0,0,1,"equal"
"560626-1739576",1,1,0,0,0,0,0,1,1,0,"equal"
"850119-2288727",1,1,1,0,0,0,1,0,0,1,"equal"
"690309-1604877",1,1,1,1,0,1,0,1,0,1,"equal"
"561110-1528827",0,1,1,1,0,1,0,0,1,0,"equal"
"650219-3067090",0,1,1,1,1,1,1,1,0,0,"equal"
"981211-1731217",1,0,0,1,0,1,1,1,0,0,"equal"
"531212-2218377",0,1,1,0,0,0,1,0,1,1,"equal"
"780708-4239697",0,0,0,0,1,1,1,0,0,1,"equal"
"850218-3620643",0,0,0,0,1,1,0,1,1,0,"equal"
"640313-1019617",1,0,0,1,1,0,0,0,1,0,"equal"
